Q1 - Sessionize:
+---------------+---------+-----------+
|       clientIP|sessionID|sessionTime|
+---------------+---------+-----------+
|   1.186.143.37|        1|     546742|
|   1.187.164.29|        1|     922289|
|     1.22.41.76|        1|     863867|
|    1.23.208.26|        1|     713674|
|    1.23.36.184|        1|     566054|
|      1.38.19.8|        1|     659615|
|     1.38.20.34|        1|    1019660|
|     1.39.13.13|        1|     104959|
|    1.39.32.249|        1|     688869|
|    1.39.32.249|        2|       7630|
|     1.39.32.59|        1|          0|
|    1.39.33.153|        1|     772296|
|     1.39.33.33|        1|      88816|
|     1.39.33.77|        1|     449981|
|     1.39.33.77|        2|     325419|
|      1.39.34.4|        1|          0|
|     1.39.40.43|        1|     708951|
|     1.39.60.37|        1|    1971606|
|     1.39.61.53|        1|          0|
|    1.39.62.227|        1|     662308|
|    1.39.63.197|        1|     178134|
|      1.39.63.5|        1|     315182|
|      1.39.63.5|        2|     274659|
|     1.39.80.11|        1|    1408272|
|     1.39.80.59|        1|     702909|
|     1.39.80.59|        2|     762669|
|    1.39.96.177|        1|          0|
|    1.39.96.177|        2|     541740|
|    1.39.96.180|        1|     380659|
|     1.39.96.68|        1|     475272|
|   101.212.65.1|        1|     949982|
|  101.212.69.69|        1|          0|
|101.222.227.114|        1|      73065|
| 101.223.252.87|        1|     162414|
| 101.57.206.246|        1|          0|
|   101.57.4.107|        1|     689352|
|  101.58.167.51|        1|          0|
| 101.60.197.127|        1|     708168|
|  101.62.205.35|        1|          0|
| 101.62.218.177|        1|     724908|
| 101.62.250.135|        1|     354652|
| 101.63.205.107|        1|    1386421|
|   103.15.63.34|        1|    2750714|
|    103.16.71.9|        1|     390750|
|    103.16.71.9|        2|     767523|
|    103.16.71.9|        3|     736426|
|    103.16.71.9|        4|          0|
|    103.16.71.9|        5|          0|
|    103.16.71.9|        6|          0|
| 103.228.115.16|        1|          0|
|103.233.170.180|        1|    1671185|
|   103.24.23.10|        1|     226751|
|   103.24.23.10|        2|     848150|
|   103.24.23.10|        3|     708066|
|   103.24.23.10|        4|     275265|
|   103.24.23.10|        5|    2009774|
|   103.24.23.10|        6|     391986|
| 103.243.11.122|        1|     677902|
|103.252.165.138|        1|          0|
|103.255.180.103|        1|          0|
|  103.30.83.131|        1|      32855|
|   103.40.51.60|        1|     816945|
|   103.40.51.60|        2|     512643|
|   103.42.88.34|        1|    1053387|
|   103.42.88.34|        2|    2387738|
|  103.50.83.146|        1|      22603|
| 103.55.169.151|        1|     739779|
|  106.194.53.95|        1|     674902|
| 106.194.72.116|        1|          0|
|   106.201.76.6|        1|     663541|
|106.206.154.121|        1|     868837|
|  106.208.243.5|        1|          0|
|  106.210.140.8|        1|     376622|
|106.215.136.220|        1|     745028|
| 106.215.140.91|        1|     258798|
|  106.220.18.37|        1|     158942|
| 106.51.141.207|        1|     181767|
| 106.51.175.162|        1|      84608|
| 106.51.242.214|        1|     816390|
|   106.67.8.255|        1|          0|
| 106.76.168.115|        1|     697309|
|  106.76.97.245|        1|    1183425|
|  106.77.245.91|        1|     587226|
|  106.77.91.244|        1|     704116|
